AAM,exp_activation_energy
[F:7][C:8]1=[N:9][C:10]([F:11])=[C:12]([C:14]([F:6])=[C:15]1[F:16])[F:13].[CH3:1][CH2:2][NH:3][CH2:4][CH3:5]>>[CH3:1][CH2:2][N:3]([C:14]1=[C:15]([C:8]([F:7])=[N:9][C:10]([F:11])=[C:12]1[F:13])[F:16])[CH2:4][CH3:5].[FH:6],20.03
[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([C:10]2=[N:11][O:12][N:13]=[C:14]12)[N+:7]([O-:9])=[O:8].[CH2:18]1[CH2:17][CH2:16][NH:15][CH2:19]1>>[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([C:14]2=[N:13][O:12][N:11]=[C:10]12)[N:15]3[CH2:16][CH2:17][CH2:18][CH2:19]3)[O-:9].[CH3:1][OH:2],15.92
[CH3:1][N:2]([C:9]1=[N:10][C:11]([Cl:12])=[N:13][C:14]([Cl:15])=[N:16]1)[C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]2.[O-:17][CH2:18][CH2:19][Cl:20]>>[CH3:1][N:2]([C:9]1=[N:10][C:11]([Cl:12])=[N:13][C:14]([O:17][CH2:18][CH2:19][Cl:20])=[N:16]1)[C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]2.[Cl-:15],15.71
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([CH:18]=[CH:19]2)[N+:15]([O-:17])=[O:16])=[N:20]1.[O-:21][C:22]1=[CH:23][C:24]([Cl:25])=[CH:26][C:27]([Cl:28])=[C:29]1[Cl:30]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:21][C:22]2=[CH:23][C:24]([Cl:25])=[CH:26][C:27]([Cl:28])=[C:29]2[Cl:30])=[N:20]1.[O:16]=[N+:15]([C:14]1=[CH:18][CH:19]=[C:11]([CH:12]=[CH:13]1)[O-:10])[O-:17],23.82
[O:7]=[N+:8]([C:10]1=[CH:11][C:12]([Br:13])=[CH:14][CH:15]=[C:16]1[Br:17])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][C:12]([Br:13])=[CH:14][CH:15]=[C:16]1[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[BrH:17],19.66
[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[C:9]([C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)[Cl:10].[CH3:16][O:17][C:18]1=[CH:19][CH:20]=[C:21]([CH:24]=[CH:25]1)[CH2:22][NH2:23]>>[CH3:16][O:17][C:18]1=[CH:19][CH:20]=[C:21]([CH:24]=[CH:25]1)[CH2:22][NH:23][C:9]2=[C:5]([CH:4]=[C:3]([CH:15]=[C:11]2[N+:12]([O-:14])=[O:13])[C:2]#[N:1])[N+:6]([O-:8])=[O:7].[ClH:10],17.6
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[CH:13][N:14]=[C:15]1[Cl:16])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[CH:13][N:14]=[C:15]1[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[ClH:16],18.85
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10]1)[I:1])[O-:4].[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10]1)[N:14]2[CH2:13][CH2:12][CH2:11][CH2:16][CH2:15]2)[O-:4].[IH:1],27.79
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10]1)[I:1])[O-:4].[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10]1)[N:14]2[CH2:13][CH2:12][CH2:11][CH2:16][CH2:15]2)[O-:4].[IH:1],28.38
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([F:7])=[CH:8][CH:9]=[C:10]1[Br:17])[O-:3].[CH2:14]1[CH2:13][CH2:12][NH:11][CH2:16][CH2:15]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([F:7])=[CH:8][CH:9]=[C:10]1[N:11]2[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]2)[O-:3].[BrH:17],21.68
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:19]([N+:20]([O-:22])=[O:21])=[CH:23]1)[Cl:24])[O-:3].[NH2:11][CH2:12][C:13]1=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:19]([N+:20]([O-:22])=[O:21])=[CH:23]1)[NH:11][CH2:12][C:13]2=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]2)[O-:3].[ClH:24],15.66
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:19]([N+:20]([O-:22])=[O:21])=[CH:23]1)[Cl:24])[O-:3].[NH2:11][CH2:12][C:13]1=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:19]([N+:20]([O-:22])=[O:21])=[CH:23]1)[NH:11][CH2:12][C:13]2=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]2)[O-:3].[ClH:24],16.92
[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[F:8])[O-:11].[NH2:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1>>[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[NH:1][C:2]2=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]2)[O-:11].[FH:8],21.56
[O:16]=[N+:15]([C:14]1=[CH:13][CH:12]=[C:11]([N:19]=[CH:18]1)[Cl:20])[O-:17].[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[O-:8])[O-:3]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[O:8][C:11]2=[CH:12][CH:13]=[C:14]([CH:18]=[N:19]2)[N+:15]([O-:17])=[O:16])[O-:3].[Cl-:20],24.65
[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([C:20]([N+:21]([O-:23])=[O:22])=[CH:24]1)[O:1][C:2]2=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]2)[O-:10].[CH2:18]1[CH2:17][CH2:16][NH:15][CH2:19]1>>[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([C:20]([N+:21]([O-:23])=[O:22])=[CH:24]1)[N:15]2[CH2:16][CH2:17][CH2:18][CH2:19]2)[O-:10].[OH:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1,21.84
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[I:8])[O-:3].[CH2:14]1[CH2:13][CH2:12][NH:11][CH2:16][CH2:15]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[N:11]2[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]2)[O-:3].[IH:8],26.56
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[I:8])[O-:3].[CH2:14]1[CH2:13][CH2:12][NH:11][CH2:16][CH2:15]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[N:11]2[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]2)[O-:3].[IH:8],25.93
[F:16][C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([Cl:13])=[C:14]1[F:15])[F:11].[CH3:1][CH2:2][NH:3][CH2:4][CH3:5]>>[CH3:1][CH2:2][N:3]([C:6]1=[N:7][C:8]([F:9])=[C:10]([C:12]([Cl:13])=[C:14]1[F:15])[F:11])[CH2:4][CH3:5].[FH:16],23.05
[CH3:31][O:32][C:23]1=[C:4]([CH:5]=[C:6]([CH:14]=[C:15]1[S:16](=[O:17])([C:19]([F:21])([F:22])[F:20])=[O:18])[S:7](=[O:8])([C:10]([F:12])([F:13])[F:11])=[O:9])[N+:2]([O-:3])=[O:1].[NH2:24][C:25]1=[CH:26][CH:27]=[CH:28][CH:29]=[CH:30]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([S:7](=[O:8])([C:10]([F:12])([F:13])[F:11])=[O:9])=[CH:14][C:15]([S:16](=[O:17])([C:19]([F:21])([F:22])[F:20])=[O:18])=[C:23]1[NH:24][C:25]2=[CH:26][CH:27]=[CH:28][CH:29]=[CH:30]2)[O-:3].[CH3:31][OH:32],16.43
[O:20]=[N+:19]([C:18]1=[CH:17][CH:16]=[CH:15][N:14]=[C:13]1[O:1][C:2]2=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]2)[O-:21].[CH3:8][CH2:9][CH2:10][CH2:11][NH2:12]>>[CH3:8][CH2:9][CH2:10][CH2:11][NH:12][C:13]1=[N:14][CH:15]=[CH:16][CH:17]=[C:18]1[N+:19]([O-:21])=[O:20].[OH:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1,20.56
[O:15]=[N+:14]([C:13]1=[CH:12][C:8]([N+:9]([O-:11])=[O:10])=[C:7]([C:18]([C:19]([F:21])([F:22])[F:20])=[CH:17]1)[Cl:25])[O-:16].[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:23]=[CH:24]1)[NH2:6]>>[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:23]=[CH:24]1)[NH:6][C:7]2=[C:8]([CH:12]=[C:13]([CH:17]=[C:18]2[C:19]([F:21])([F:22])[F:20])[N+:14]([O-:16])=[O:15])[N+:9]([O-:11])=[O:10].[ClH:25],25.06
[O:18]=[N+:17]([C:16]1=[CH:15][CH:14]=[CH:13][N:12]=[C:11]1[Cl:20])[O-:19].[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[O-:8])[O-:3]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[O:8][C:11]2=[N:12][CH:13]=[CH:14][CH:15]=[C:16]2[N+:17]([O-:19])=[O:18])[O-:3].[Cl-:20],25.51
[O:8]=[N+:9]([C:11]1=[CH:12][C:13]([C:14]([F:16])([F:17])[F:15])=[CH:18][CH:19]=[C:20]1[F:1])[O-:10].[CH2:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1>>[O:8]=[N+:9]([C:11]1=[CH:12][C:13]([C:14]([F:16])([F:17])[F:15])=[CH:18][CH:19]=[C:20]1[N:5]2[CH2:4][CH2:3][CH2:2][CH2:7][CH2:6]2)[O-:10].[FH:1],16.99
[F:1][C:2]1=[CH:3][C:4]([F:5])=[C:6]([C:8]([F:9])=[N:10]1)[F:7].[CH3:11][O-:12]>>[CH3:11][O:12][C:4]1=[CH:3][C:2]([F:1])=[N:10][C:8]([F:9])=[C:6]1[F:7].[F-:5],17.73
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:14]=[CH:15]1)[N+:16]([O-:18])=[O:17])[O-:3].[CH2:11]1[CH2:10][CH2:9][NH:8][CH2:13][CH2:12]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:14]=[CH:15]1)[N:8]2[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]2)[O-:3].[O:17]=[N:16][OH:18],27.4
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:14]=[CH:15]1)[N+:16]([O-:18])=[O:17])[O-:3].[CH2:11]1[CH2:10][CH2:9][NH:8][CH2:13][CH2:12]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:14]=[CH:15]1)[N:8]2[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]2)[O-:3].[O:17]=[N:16][OH:18],23.72
[CH3:9][O:10][C:11]1=[C:12]([CH:20]=[C:21]([CH:25]=[C:26]1[S:27](=[O:28])([C:30]([F:32])([F:33])[F:31])=[O:29])[N+:22]([O-:24])=[O:23])[S:13](=[O:14])([C:16]([F:18])([F:19])[F:17])=[O:15].[NH2:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[F:6]>>[O:23]=[N+:22]([C:21]1=[CH:20][C:12]([S:13](=[O:14])([C:16]([F:18])([F:19])[F:17])=[O:15])=[C:11]([C:26]([S:27](=[O:28])([C:30]([F:32])([F:33])[F:31])=[O:29])=[CH:25]1)[NH:1][C:2]2=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]2)[F:6])[O-:24].[CH3:9][OH:10],21.09
[O:10]=[N+:11]([C:13]1=[CH:14][C:15]([C:16]([F:18])([F:19])[F:17])=[CH:20][C:21]([N+:22]([O-:24])=[O:23])=[C:25]1[Cl:9])[O-:12].[NH2:1][CH2:2][C:3]1=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]1>>[O:10]=[N+:11]([C:13]1=[CH:14][C:15]([C:16]([F:18])([F:19])[F:17])=[CH:20][C:21]([N+:22]([O-:24])=[O:23])=[C:25]1[NH:1][CH2:2][C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]2)[O-:12].[ClH:9],17.71
[F:2][C:3]1=[N:4][C:5]([F:1])=[C:6]([C:11]([F:12])=[C:13]1[C:14]([F:16])([F:17])[F:15])[C:7]([F:9])([F:10])[F:8].[NH3:18]>>[NH2:18][C:5]1=[N:4][C:3]([F:2])=[C:13]([C:11]([F:12])=[C:6]1[C:7]([F:9])([F:10])[F:8])[C:14]([F:16])([F:17])[F:15].[FH:1],17.26
[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([CH:15]=[CH:16]1)[I:7])[O-:10].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([CH:15]=[CH:16]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:10].[IH:7],27.79
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17]1)[Cl:11])[O-:3].[CH3:18][O:19][C:20]1=[CH:21][CH:22]=[CH:23][C:24]([NH2:25])=[CH:26]1>>[CH3:18][O:19][C:20]1=[CH:21][CH:22]=[CH:23][C:24]([NH:25][C:10]2=[C:6]([CH:5]=[C:4]([CH:17]=[C:12]2[C:13]([F:15])([F:16])[F:14])[N+:2]([O-:3])=[O:1])[N+:7]([O-:9])=[O:8])=[CH:26]1.[ClH:11],22.49
[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([CH:15]=[CH:16]1)[Br:1])[O-:10].[CH2:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1>>[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([CH:15]=[CH:16]1)[N:5]2[CH2:4][CH2:3][CH2:2][CH2:7][CH2:6]2)[O-:10].[BrH:1],24.98
[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([CH:15]=[CH:16]1)[Br:1])[O-:10].[CH2:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1>>[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([CH:15]=[CH:16]1)[N:5]2[CH2:4][CH2:3][CH2:2][CH2:7][CH2:6]2)[O-:10].[BrH:1],29.98
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]1[Cl:1])[O-:4].[CH3:11][O-:12]>>[CH3:11][O:12][C:10]1=[CH:9][CH:8]=[CH:7][CH:6]=[C:5]1[N+:3]([O-:4])=[O:2].[Cl-:1],26.56
[CH3:9][O:10][C:11]([C:13]1=[C:20]([O:8][CH3:7])[S:19][C:15]([N+:16]([O-:18])=[O:17])=[CH:14]1)=[O:12].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[CH3:9][O:10][C:11]([C:13]1=[C:20]([N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[S:19][C:15]([N+:16]([O-:18])=[O:17])=[CH:14]1)=[O:12].[CH3:7][OH:8],17.5
[F:7][C:6]1=[CH:8][C:9]([F:10])=[N:11][C:4]([F:1])=[N:5]1.[CH3:2][O-:3]>>[CH3:2][O:3][C:4]1=[N:5][C:6]([F:7])=[CH:8][C:9]([F:10])=[N:11]1.[F-:1],14.47
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]2=[N:10][O:11][N:12]=[C:13]12)[Cl:8])[O-:3].[CH2:17]1[CH2:16][CH2:15][NH:14][CH2:19][CH2:18]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]2=[N:10][O:11][N:12]=[C:13]12)[N:14]3[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]3)[O-:3].[ClH:8],15.75
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[F:21])[O-:3].[NH2:8][C:9]1=[CH:10][CH:11]=[C:12]([CH:14]=[CH:15]1)[Br:13]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[NH:8][C:9]2=[CH:10][CH:11]=[C:12]([CH:14]=[CH:15]2)[Br:13])[O-:3].[FH:21],22.08
[F:12][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:8]([Cl:9])=[C:10]1[F:11])[Cl:7].[NH3:1]>>[NH2:1][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:8]([Cl:9])=[C:10]1[F:11])[Cl:7].[FH:12],23.4
[F:6][C:5]1=[N:7][C:8]([Cl:9])=[C:10]([C:2]([F:12])=[C:3]1[F:4])[F:11].[NH3:1]>>[NH2:1][C:2]1=[C:3]([C:5]([F:6])=[N:7][C:8]([Cl:9])=[C:10]1[F:11])[F:4].[FH:12],21.71
[F:1][C:2]1=[CH:3][C:4]([F:5])=[C:6]2[C:7]([F:8])=[C:9]([C:11]([F:12])=[C:13]([C:15]2=[C:16]1[F:17])[F:14])[F:10].[CH3:18][O-:19]>>[CH3:18][O:19][C:2]1=[CH:3][C:4]([F:5])=[C:6]2[C:7]([F:8])=[C:9]([C:11]([F:12])=[C:13]([C:15]2=[C:16]1[F:17])[F:14])[F:10].[F-:1],23.33
[O:7]=[N+:6]([C:5]1=[CH:4][CH:3]=[C:2]([C:10]([N+:11]([O-:13])=[O:12])=[CH:9]1)[Cl:14])[O-:8].[NH3:1]>>[NH2:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:9]=[C:10]1[N+:11]([O-:13])=[O:12])[N+:6]([O-:8])=[O:7].[ClH:14],24.78
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([N:15]=[CH:16]1)[O:8][C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)[O-:3].[CH2:17]1[CH2:18][CH2:19][NH:20][CH2:21]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([N:15]=[CH:16]1)[N:20]2[CH2:19][CH2:18][CH2:17][CH2:21]2)[O-:3].[OH:8][C:9]1=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]1,20.68
[Cl:9][C:3]1=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]1.[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]1.[Cl-:9],42.44
[F:5][C:4]1=[CH:6][N:7]=[C:8]([C:10]([F:11])=[C:3]1[F:12])[F:9].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[C:4]([CH:6]=[N:7][C:8]([F:9])=[C:10]1[F:11])[F:5].[F-:12],17.46
[O:10]=[N+:9]([C:8]1=[CH:7][CH:6]=[CH:5][CH:4]=[C:3]1[Cl:12])[O-:11].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][CH:7]=[C:8]1[N+:9]([O-:11])=[O:10].[Cl-:12],26.72
[CH3:9][O:10][C:11]1=[N:12][C:13]([O:14][CH3:15])=[N:16][C:17]([O:18][C:19]2=[CH:20][CH:21]=[C:22]([C:26]([N+:27]([O-:29])=[O:28])=[CH:30]2)[N+:23]([O-:25])=[O:24])=[N:31]1.[O-:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([Cl:7])=[CH:8]1>>[CH3:9][O:10][C:11]1=[N:12][C:13]([O:14][CH3:15])=[N:16][C:17]([O:1][C:2]2=[CH:3][CH:4]=[CH:5][C:6]([Cl:7])=[CH:8]2)=[N:31]1.[O:24]=[N+:23]([C:22]1=[CH:21][CH:20]=[C:19]([CH:30]=[C:26]1[N+:27]([O-:29])=[O:28])[O-:18])[O-:25],19.29
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]2)[Cl:15])=[N:21]1.[O-:22][C:23]1=[CH:24][CH:25]=[CH:26][C:27]([Cl:28])=[CH:29]1>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:22][C:23]2=[CH:24][CH:25]=[CH:26][C:27]([Cl:28])=[CH:29]2)=[N:21]1.[O:18]=[N+:17]([C:16]1=[CH:20][C:11]([O-:10])=[CH:12][CH:13]=[C:14]1[Cl:15])[O-:19],20.56
[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:17]=[CH:18]1)[NH:8][C:9]2=[N:10][C:11]([Cl:1])=[N:13][C:14]([Cl:15])=[N:16]2.[OH-:12]>>[CH3:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:17]=[CH:18]1)[NH:8][C:9]2=[N:10][C:11]([OH:12])=[N:13][C:14]([Cl:15])=[N:16]2.[Cl-:1],17.88
[Cl:1][C:2]1=[N:3][N:4]=[C:5]([C:7]([Cl:8])=[C:9]1[Cl:10])[Cl:6].[NH3:11]>>[NH2:11][C:7]1=[C:5]([N:4]=[N:3][C:2]([Cl:1])=[C:9]1[Cl:10])[Cl:6].[ClH:8],24.19
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:1])[O-:4].[CH3:14][O-:15]>>[CH3:14][O:15][C:8]1=[CH:7][CH:6]=[C:5]([CH:13]=[C:9]1[N+:10]([O-:12])=[O:11])[N+:3]([O-:4])=[O:2].[Cl-:1],19.61
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([CH:18]=[CH:19]2)[N+:15]([O-:17])=[O:16])=[N:20]1.[O-:21][C:22]1=[CH:23][C:24]([Cl:25])=[C:26]([C:28]([Cl:29])=[C:30]1[Cl:31])[Cl:27]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:21][C:22]2=[CH:23][C:24]([Cl:25])=[C:26]([C:28]([Cl:29])=[C:30]2[Cl:31])[Cl:27])=[N:20]1.[O:16]=[N+:15]([C:14]1=[CH:18][CH:19]=[C:11]([CH:12]=[CH:13]1)[O-:10])[O-:17],20.56
[CH3:7][N:8]([C:15]1=[N:16][C:17]([Cl:18])=[N:19][C:20]([Cl:22])=[N:21]1)[C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2.[O-:1][CH2:2][C:3]([F:5])([F:6])[F:4]>>[CH3:7][N:8]([C:15]1=[N:16][C:17]([Cl:18])=[N:19][C:20]([O:1][CH2:2][C:3]([F:5])([F:6])[F:4])=[N:21]1)[C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2.[Cl-:22],17.74
[N:6]#[C:7][C:8]1=[CH:9][C:10]([N+:11]([O-:13])=[O:12])=[CH:14][CH:15]=[C:16]1[O:17][C:18]2=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]2.[CH3:1][CH2:2][CH2:3][CH2:4][NH2:5]>>[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][C:16]1=[CH:15][CH:14]=[C:10]([CH:9]=[C:8]1[C:7]#[N:6])[N+:11]([O-:13])=[O:12].[OH:17][C:18]1=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]1,19.23
[F:16][C:2]1=[C:3]([C:5]([F:6])=[C:7]([C:12]([F:13])=[C:14]1[F:15])[C:8]([F:10])([F:11])[F:9])[F:4].[NH3:1]>>[NH2:1][C:2]1=[C:3]([C:5]([F:6])=[C:7]([C:12]([F:13])=[C:14]1[F:15])[C:8]([F:10])([F:11])[F:9])[F:4].[FH:16],25.88
[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[Cl:16])[O-:11].[NH2:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[Cl:6]>>[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[NH:1][C:2]2=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]2)[Cl:6])[O-:11].[ClH:16],25.14
[CH3:21][O:22][C:23]1=[N:24][C:25]([O:26][CH3:27])=[N:28][C:29]([O:8][C:7]2=[CH:9][CH:10]=[C:4]([CH:5]=[CH:6]2)[N+:2]([O-:3])=[O:1])=[N:30]1.[CH3:11][C:12]([C:14]1=[CH:15][CH:16]=[C:17]([CH:19]=[CH:20]1)[O-:18])=[O:13]>>[CH3:21][O:22][C:23]1=[N:24][C:25]([O:26][CH3:27])=[N:28][C:29]([O:18][C:17]2=[CH:16][CH:15]=[C:14]([CH:20]=[CH:19]2)[C:12]([CH3:11])=[O:13])=[N:30]1.[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[O-:8])[O-:3],22.28
[F:1][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:8]([F:9])=[C:10]1[F:11])[F:7].[CH3:12][CH2:13][NH:14][CH2:15][CH3:16]>>[CH3:12][CH2:13][N:14]([C:8]1=[C:10]([C:2]([F:1])=[N:3][C:4]([F:5])=[C:6]1[F:7])[F:11])[CH2:15][CH3:16].[FH:9],20.55
