idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family
60,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[O:2])([H:6])[H:8].[C:3](=[C:4]([O:5][H:7])[H:11])([H:9])[H:10],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C2H4O.CH2O/c1-2-3;1-2/h2-3H,1H2;1H2",56.80752,11.832089999999999,Retroene
61,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C+:1]([C@:4]([C:3]([O:2][H:7])([H:9])[H:10])([O-:5])[H:11])([H:6])[H:8],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C3H6O2/c1-3(5)2-4/h3-4H,1-2H2/t3-/m1/s1",86.59683000000001,76.39789,
62,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([N+:6]#[C-:5])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3","InChI=1S/C5H9N/c1-5(2)4-6-3/h5H,4H2,1-2H3",59.30894,22.08586,
63,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1](=[C:2]([C:3]([H:11])([H:12])[H:13])[H:10])([H:7])[H:8].[C:4]1([H:14])([H:15])[C:5]([H:9])=[N:6]1,"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3","InChI=1S/C3H6.C2H3N/c1-3-2;1-2-3-1/h3H,1H2,2H3;1H,2H2",99.96469,68.94094,
64,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C@:2]1([H:10])[C:5]([C:4]([C:3]([H:11])([H:12])[H:13])([H:14])[H:15])=[N:6]1)([H:7])([H:8])[H:9],"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3","InChI=1S/C5H9N/c1-3-5-4(2)6-5/h4H,3H2,1-2H3/t4-/m1/s1",148.02635,38.21026,
65,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([N:6]=[C:5]=[C:4]([H:14])[H:15])([H:11])[H:13])([H:10])[H:12])([H:7])([H:8])[H:9],"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3","InChI=1S/C5H9N/c1-3-5-6-4-2/h2-3,5H2,1H3",99.14967,32.47638,
66,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4](=[C:5]=[N:6][H:15])[H:14])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3","InChI=1S/C5H9N/c1-5(2)3-4-6/h3,5-6H,1-2H3",91.99065999999999,26.35758,
67,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]=[N:6][H:13])([H:14])[H:15],"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3","InChI=1S/C3H6.C2H3N/c1-3-2;1-2-3/h3H,1H2,2H3;3H,1H2",68.38353000000001,48.12894,Retroene
68,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]1([H:10])[C:3]([H:11])([H:12])/[C:5](=[N:6]/[H:13])[C:4]1([H:14])[H:15])([H:7])([H:8])[H:9],"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3","InChI=1S/C5H9N/c1-4-2-5(6)3-4/h4,6H,2-3H2,1H3/b6-5-",101.62226,22.56812,
69,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[N:6]([H:13])[C:5][C:4]1([H:14])[H:15])([H:7])([H:8])[H:9],"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3","InChI=1S/C5H9N/c1-5-2-3-6-4-5/h5-6H,2,4H2,1H3/t5-/m1/s1",91.6563,41.91194,
70,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([C:5]#[N:6])([H:14])[H:15])[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])=[C:4]([C:5]#[N:6])[H:14])([H:7])([H:8])[H:9].[H:10][H:15],"InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3","InChI=1S/C5H7N.H2/c1-5(2)3-4-6;/h3H,1-2H3;1H",100.00654,24.83513,
71,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C:2]([C:3]([O+:5]=[C-:4][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3","InChI=1S/C4H8O/c1-3-4-5-2/h2H,3-4H2,1H3",113.08191000000001,64.37595999999999,
72,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C:2](=[C:3]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[C:4](=[O:5])([H:9])[H:13],"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3","InChI=1S/C3H6.CH2O/c1-3-2;1-2/h3H,1H2,2H3;1H2",75.45451,28.39025,
73,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[C:2]([H:9])[H:10])([H:6])[H:8].[C:3](=[C:4]([O:5][H:7])[H:13])([H:11])[H:12],"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3","InChI=1S/C2H4O.C2H4/c1-2-3;1-2/h2-3H,1H2;1-2H2",58.897119999999994,32.840959999999995,Retroene
74,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([H:6])([H:7])([H:8])[H:11].[C:2](=[C:3]([C:4](=[O:5])[H:13])[H:12])([H:9])[H:10],"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3","InChI=1S/C3H4O.CH4/c1-2-3-4;/h2-3H,1H2;1H4",95.23448,18.67916,
75,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C-:4]#[O+:5].[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([H:9])[H:10])([H:6])([H:7])[H:8],"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3","InChI=1S/C3H8.CO/c1-3-2;1-2/h3H2,1-2H3;",83.59612,-1.54731,"1,2_Insertion_CO"
76,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C:2]([O:5][C:4](=[C:3]([H:11])[H:12])[H:13])([H:9])[H:10])([H:6])([H:7])[H:8],"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3","InChI=1S/C4H8O/c1-3-5-4-2/h3H,1,4H2,2H3",89.5795,17.802629999999997,ketoenol
77,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C:2](/[C:3](=[C:4](\[O:5][H:11])[H:13])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3","InChI=1S/C4H8O/c1-2-3-4-5/h3-5H,2H2,1H3/b4-3-",71.02608000000001,9.284089999999999,ketoenol
78,[C:1]([C:2]([C:3]([C:4](=[O:5])[H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@:4]1([O:5][H:9])[H:13])([H:6])([H:7])[H:8],"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3","InChI=1S/C4H8O/c1-3-2-4(3)5/h3-5H,2H2,1H3/t3-,4+/m0/s1",79.21441999999999,19.842879999999997,
79,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2]1=[N:6][C:5]([H:11])=[N:4][C:3]1([H:9])[H:10])([H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h2H,1H2,(H2,4,5,6)",44.071529999999996,4.29724,
80,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2]1=[N:6][C@:3]1(/[C:5](=[N:4]/[H:10])[H:11])[H:9])([H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c4-1-2-3(5)6-2/h1-2,4H,(H2,5,6)/b4-1+/t2-/m0/s1",103.42911,44.78111,
81,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1](=[C:2]1/[C:3]([H:8])([H:9])[N:4]([H:10])[C:5]([H:11])=[N:6]1)\[H:7],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h2H,1H2,(H2,4,5,6)",74.2526,9.1189,
82,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C@@:2]1(/[C:3](=[N:4]/[H:10])[H:9])[C:5]([H:11])=[N:6]1)([H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c4-1-3(5)2-6-3/h1-2,4H,5H2/b4-1+/t3-/m1/s1",98.794,54.40428000000001,
83,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[C:5](#[N:6])[H:11].[N:1]([C:2]/[C:3](=[N:4]/[H:10])[H:9])([H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C2H4N2.CHN/c3-1-2-4;1-2/h1,3H,4H2;1H/b3-1+;",84.32625,70.96569000000001,
84,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2]1=[C:3]([H:9])[N:4]([H:10])[C:5][N:6]1[H:11])([H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1,5-6H,4H2",68.62703,29.01815,
85,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N+:1]([c:2]1[c-:3][n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])([H:8])[H:9],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H4N3/c4-3-1-5-2-6-3/h2H,4H2,(H,5,6)/q-1/p+1",74.94034,60.91066,
86,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1](=[C:2]1[C-:3]([H:9])[N+:4]([H:8])([H:10])[C:5]([H:11])=[N:6]1)[H:7],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2,4H,5H2",116.19068999999999,71.32188000000001,
87,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2]1=[N:6][C:5]([H:10])([H:11])[N:4]=[C:3]1[H:9])([H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1H,2H2,(H2,4,6)",42.75096,7.2222800000000005,
88,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N-:1]([c:2]1[c:3]([H:9])[n+:4]([H:10])[c:5]([H:11])[n:6]1[H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H4N3/c4-3-1-5-2-6-3/h1-2,4H,(H,5,6)/q-1/p+1",60.51886,31.269340000000003,
89,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2]#[N+:6][C-:5]([N+:4](=[C-:3][H:9])[H:10])[H:11])([H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c1-5-3-6-2-4/h1,3,5H,4H2",98.11206999999999,96.08125,
90,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C@:2]1([H:9])[C-:3]=[N+:4]([H:10])[C:5]([H:11])=[N:6]1)([H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h2-3,5H,4H2/t3-/m0/s1",61.58283,52.792159999999996,Singlet_Carbene_Intra_Disproportionation
91,[N:1]([c:2]1[c:3]([H:9])[n:4]([H:10])[c:5]([H:11])[n:6]1)([H:7])[H:8],[N:1]([C:2](/[C:3](=[N:4]/[H:10])[H:9])=[N+:6]=[C-:5][H:11])([H:7])[H:8],"InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)","InChI=1S/C3H5N3/c1-6-3(5)2-4/h1-2,4H,5H2/b4-2+",67.14405,64.43785,
92,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@@:3]3([H:10])[C@@:4]([H:12])([C:5]1([H:11])[H:13])[N:6]23,"InChI=1S/C5H7N/c1-3-2-5-4(1)6(3)5/h3-5H,1-2H2/t3-,4+,5-,6?","InChI=1S/C5H7N/c1-2-4-5-3(1)6(4)5/h3-5H,1-2H2/t3-,4+,5-,6?",67.43646,-15.81582,
93,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[C:4]([H:11])([H:12])[C:5]([H:8])([H:13])[N:6]12)[H:7],"InChI=1S/C5H7N/c1-3-2-5-4(1)6(3)5/h3-5H,1-2H2/t3-,4+,5-,6?","InChI=1S/C5H7N/c1-4-5-2-3-6(4)5/h1,4-5H,2-3H2/t4-,5+,6?/m0/s1",87.78411,70.62531,
94,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@@:3]([H:10])([C:4]([H:11])([H:12])[C:5]1)[N:6]2[H:13],"InChI=1S/C5H7N/c1-3-2-5-4(1)6(3)5/h3-5H,1-2H2/t3-,4+,5-,6?","InChI=1S/C5H7N/c1-2-4-5(3-1)6-4/h4-6H,2-3H2/t4-,5+",64.7911,41.16294,
95,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1]1([H:7])([H:8])[C@:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:9])[N:6]=[C:5]1[H:13],"InChI=1S/C5H7N/c1-3-2-5-4(1)6(3)5/h3-5H,1-2H2/t3-,4+,5-,6?","InChI=1S/C5H7N/c1-2-5-3-4-6-5/h2,4-5H,1,3H2/t5-/m1/s1",48.94916,-16.84506,
96,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1](=[C:5]([C:4]([C@:3]1([H:10])[C:2]([H:9])=[N:6]1)([H:11])[H:12])[H:13])([H:7])[H:8],"InChI=1S/C5H7N/c1-3-2-5-4(1)6(3)5/h3-5H,1-2H2/t3-,4+,5-,6?","InChI=1S/C5H7N/c1-2-3-5-4-6-5/h2,4-5H,1,3H2/t5-/m1/s1",73.26969,-2.2413,
97,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1]([C:2][H:9])([C@:5]1([H:13])[C:4]([H:11])([H:12])[C:3]([H:10])=[N:6]1)([H:7])[H:8],"InChI=1S/C5H7N/c1-3-2-5-4(1)6(3)5/h3-5H,1-2H2/t3-,4+,5-,6?","InChI=1S/C5H7N/c1-2-5-3-4-6-5/h1,4-5H,2-3H2/t5-/m1/s1",65.13054,58.54506,
98,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1]1([H:7])([H:8])[C:2][C@@:3]2([H:10])[C:4]([H:11])([H:12])[C@:5]1([H:13])[N:6]2[H:9],"InChI=1S/C5H7N/c1-3-2-5-4(1)6(3)5/h3-5H,1-2H2/t3-,4+,5-,6?","InChI=1S/C5H7N/c1-2-5-3-4(1)6-5/h4-6H,1,3H2/t4-,5+/m1/s1",55.39236,46.98415,
99,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C@:3]3([H:10])[C:4]([H:11])([H:12])[C@@:5]1([H:13])[N:6]23,[C:1]1([H:7])=[C:2]([H:9])[N:6]2[C:3]([H:8])([H:10])[C:4]([H:11])([H:12])[C@@:5]12[H:13],"InChI=1S/C5H7N/c1-3-2-5-4(1)6(3)5/h3-5H,1-2H2/t3-,4+,5-,6?","InChI=1S/C5H7N/c1-3-6-4-2-5(1)6/h1,3,5H,2,4H2/t5-/m1/s1",97.93085,1.8772799999999998,
100,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C:2][C@@:6]2([H:13])[C@@:4]([H:11])([C:3]1([H:9])[H:10])[N:5]2[H:12],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-2-4-5(3-1)6-4/h4-6H,1-2H2/t4-,5+/m1/s1",52.434580000000004,17.24087,
101,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]([C@:3]1([H:10])[C:2]([H:9])=[C:6]([H:13])[N:5]=[C:4]1[H:11])([H:7])([H:8])[H:12],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-5-2-3-6-4-5/h2-5H,1H3/t5-/m1/s1",57.22525,-63.77069,
102,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1](=[C:3]([C@@:4]1([H:11])[N:5]([H:12])[C@:6]1([C:2][H:9])[H:13])[H:10])([H:7])[H:8],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-3-5-4(2)6-5/h2-6H,1H2/t4-,5+/m0/s1",52.71382,38.77134,
103,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C:4]([H:11])([H:13])[N:5]([H:12])[C:6]2,"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-4-2-6-3-5(1)4/h4-6H,1-2H2/t4-,5+/m0/s1",55.110519999999994,-22.21898,
104,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@:4]2([N:5]([C:6][H:13])[H:12])[H:11],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-6-5-3-2-4(3)5/h1,3-6H,2H2/t3-,4+,5-",59.57971,20.10023,
105,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])=[C:2]([H:9])[C:3]1([C@@:4]1([H:11])[N:5]=[C:6]1[H:13])[H:10].[H:8][H:12],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+",InChI=1S/C5H5N.H2/c1-2-4(1)5-3-6-5;/h1-5H;1H/t5-;/m0./s1,78.23057,37.4345,
106,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[N+:5]1([H:12])[C-:4]([H:11])[C@:6]21[H:13],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-3-4(1)6-2-5(3)6/h2-6H,1H2/t3-,4+,5+/m0/s1",106.44113,38.691340000000004,
107,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C:2]([C@@:6]2([H:13])[C:4][N:5]2[H:12])([H:9])[C:3]1([H:10])[H:11],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-2-4(1)5-3-6-5/h4-6H,1-2H2/t5-/m1/s1",57.38544,12.49048,
108,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C:2][C@@:3]1([C@@:4]1([H:11])[N:5]([H:12])[C:6]1([H:9])[H:13])[H:10],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-2-4(1)5-3-6-5/h4-6H,1,3H2/t4-,5+/m1/s1",63.36111999999999,47.94996,
109,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@:4]([N:5]([H:12])[H:13])([H:11])[C:6]2,"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c6-5-2-3-1-4(3)5/h3-5H,1,6H2/t3-,4-,5+/m1/s1",57.52873,23.22372,
110,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:6]([H:13])[C@@:4]2([H:11])[C@:3]1([H:10])[N:5]2[H:12],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-2-4-5(3-1)6-4/h1-2,4-6H,3H2/t4-,5+/m0/s1",36.485170000000004,-45.52082,
111,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C:4]([H:11])=[N:5][C:6]2([H:12])[H:13],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-4-2-6-3-5(1)4/h2,4-5H,1,3H2/t4-,5+/m0/s1",51.09316,-54.1187,
112,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]1([H:7])([H:8])[C:2]([H:9])=[C:6]([H:13])[N:5]([H:12])[C:4]([H:11])=[C:3]1[H:10],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-2-4-6-5-3-1/h2-6H,1H2",42.92067,-63.4452,
113,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C@:3]1([H:10])[C@@:4]1([H:11])[N:5]([H:12])[C@@:6]21[H:13],[C:1]([C@:3]1([H:10])[C@@:2]2([H:9])[C@:4]1([H:11])[N:5]=[C:6]2[H:13])([H:7])([H:8])[H:12],"InChI=1S/C5H7N/c1-2-3(1)5-4(2)6-5/h2-6H,1H2/t2-,3+,4-,5+","InChI=1S/C5H7N/c1-3-4-2-6-5(3)4/h2-5H,1H3/t3-,4+,5-/m1/s1",57.182880000000004,-19.12034,
114,[O:1]=[c:2]1[o:3][c:4]([H:7])[c:5]([H:8])[o:6]1,[C:4](=[C:5]=[O:6])([H:7])[H:8].[O:1]=[C:2]=[O:3],InChI=1S/C3H2O3/c4-3-5-1-2-6-3/h1-2H,InChI=1S/C2H2O.CO2/c1-2-3;2-1-3/h1H2;,60.34929,-10.63862,
